user,pass,confpass,titleVal,fname,lname,emailreg,dob,natio,terms,userErr,passErr,confpassErr,fnameErr,lnameErr,emailErr,eulaErr
user,1234asdf,1234asdf,Mr,Name,Surname,email@email.aa,01/01/1990,Angolan,true,,,,,,,,
user,1234asdf,1234asd,Mr,Name,Surname,email@email.aa,01/01/1990,Romanian,true,,,Passwords do not match!,,,,,
user,1234asdf,1234asdf,Mr,Name,Surname,email@email.aa,01/01/1990,Romanian,false,,,,,,,You need to accept our T&C!
user,1234asdf,1234asdf,Mr,Name,Surname,email@email.aa,,Emirian,true,,,,,,,,
user,1234asdf,1234asdf,,Name,Surname,email@email.aa,01/01/1990,Romanian,true,,,,,,,,
user,1234asdf,1234asdf,Ms,Name,Surname,,01/01/1990,Romanian,true,,,,,,Email is required!,,
user,1234asdf,1234asdf,Ms,Name,Surname,email@email.aa,01/01/19900,Romanian,true,,,,,,,,
user,1234asdf,1234asdf,Ms,Name,Surname,email@email.aa,01/01/2222,Romanian,true,,,,,,,,
,1234asdf,1234asdf,Ms,Name,Surname,email@email.aa,01/01/2222,Romanian,true,Username is required!,,,,,,,
us,1234asdf,1234asdf,Ms,Name,Surname,email@email.aa,01/01/1990,Romanian,true,Minimum of 4 characters is required!,,,,,,,
user,1234asdf,1234asdf,Mr,N,Surname,email@email.aa,01/01/1990,Angolan,true,,,,Minimum of 2 characters is required!,,,,
user,1234asdf,1234asdf,Mr,Name,S,email@email.aa,01/01/1990,Angolan,true,,,,,Minimum of 2 characters is required!,,,
